Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,Group,AdjTime,NounTime,NPTime,AudioDur
longscissors.png,shortscissors.png,orca.png,brain.png,longscissors.mp3,1,critical,A,961,1583,961,2267
longpeapod.png,shortpeapod.png,shortbroom.png,cap.png,shortpeapod.mp3,2,critical competitor,A,864,1476,864,2237
wateringcan.png,dice.png,fatbowlingpin.png,skinnybowlingpin.png,fatbowlingpin.mp3,3,critical,A,957,1639,957,2303
talltree.png,crayon.png,shortmug.png,tallmug.png,tallmug.mp3,4,critical competitor,A,907,1457,907,1978
widechair.png,narrowchair.png,flashlight.png,bomb.png,widechair.mp3,1,critical,A,844,1469,844,1928
shortshell.png,longshell.png,deer.png,lime.png,longshell.mp3,2,critical,A,1045,1561,1045,2110
volleyball.png,longsword.png,longwrench.png,shortwrench.png,longwrench.mp3,3,critical competitor,A,868,1340,868,2112
longnail.png,iron.png,shortbat.png,longbat.png,longbat.mp3,4,critical competitor,A,1013,1716,1013,2163
longtoothbrush.png,shorttoothbrush.png,pan.png,longdress.png,longtoothbrush.mp3,1,critical competitor,A,922,1565,922,2396
longmarker.png,shortmarker.png,bag.png,seal.png,shortmarker.mp3,2,critical,A,885,1421,885,1965
globe.png,pancakes.png,shortrocket.png,longrocket.png,shortrocket.mp3,3,critical,A,705,1228,705,1920
shorthammer.png,briefcase.png,longhockeystick.png,shorthockeystick.png,shorthockeystick.mp3,4,critical competitor,A,892,1357,892,2267
fatpencil.png,skinnypencil.png,curtains.png,bagel.png,fatpencil.mp3,1,critical,A,1000,1719,1000,2266
skinnywatch.png,fatwatch.png,fatstrawberry.png,yoyo.png,fatwatch.mp3,2,critical competitor,A,977,1590,977,2199
cupcake.png,phone.png,skinnycandycane.png,fatcandycane.png,skinnycandycane.mp3,3,critical,A,993,1581,993,2381
flower.png,jellyfish.png,fatknife.png,skinnyknife.png,skinnyknife.mp3,4,critical,A,1023,1586,1023,2215
skinnytie.png,fattie.png,sink.png,skinnydog.png,skinnytie.mp3,1,critical competitor,A,826,1532,826,1996
narrowcolumn.png,widecolumn.png,widedoor.png,olives.png,widecolumn.mp3,2,critical competitor,A,871,1403,871,1962
balloon.png,thinstick.png,thinbandaid.png,thickbandaid.png,thinbandaid.mp3,3,critical competitor,A,983,1619,983,2265
banana.png,jacket.png,thickbottle.png,thinbottle.png,thinbottle.mp3,4,critical,A,977,1666,977,1985
thinruler.png,thickruler.png,pear.png,thinarrow.png,thinruler.mp3,1,critical competitor,A,917,1327,917,1917
tallbeer.png,shortbeer.png,shorttable.png,yarn.png,shortbeer.mp3,2,critical competitor,A,858,1621,858,2040
lock.png,beetle.png,shortjar.png,talljar.png,shortjar.mp3,3,critical,A,920,1621,920,2153
microphone.png,mittens.png,smallbowl.png,bigbowl.png,bigbowl.mp3,4,critical,A,1027,1405,1027,1948
bigpotato.png,smallpotato.png,tissues.png,fireextinguisher.png,bigpotato.mp3,1,critical,A,890,1302,890,1943
smallhouse.png,bighouse.png,sled.png,umbrella.png,bighouse.mp3,2,critical,A,969,1309,969,1980
earmuffs.png,bigtomato.png,bigcanoe.png,smallcanoe.png,bigcanoe.mp3,3,critical competitor,A,893,1271,893,1735
bigclothespin.png,cheesegrater.png,smalllightbulb.png,biglightbulb.png,biglightbulb.mp3,4,critical competitor,A,998,1414,998,2189
smallcrab.png,bigcrab.png,backpack.png,orange.png,smallcrab.mp3,1,critical,A,987,1727,987,2308
bigrazor.png,smallrazor.png,teapot.png,cd.png,smallrazor.mp3,2,critical,A,898,1484,898,2175
fence.png,smallbird.png,smallkey.png,bigkey.png,smallkey.mp3,3,critical competitor,A,980,1740,980,2144
trumpet.png,easel.png,bigspider.png,smallspider.png,smallspider.mp3,4,critical,A,838,1487,838,2127
smalldesk.png,bigdesk.png,caterpillar.png,smalleraser.png,smalldesk.mp3,1,critical competitor,A,1031,1716,1031,1540
bigtrophy.png,smalltrophy.png,smallpinwheel.png,grapes.png,smalltrophy.mp3,2,critical competitor,A,847,1524,847,2130
avocado.png,dartboard.png,thickpaintbrush.png,thinpaintbrush.png,thickpaintbrush.mp3,3,critical,A,821,1430,821,2232
thickrope.png,fan.png,thinburrito.png,thickburrito.png,thickburrito.mp3,4,critical competitor,A,961,1585,961,2179
thickmustache.png,thinmustache.png,xylophone.png,thickpillow.png,thickmustache.mp3,1,critical competitor,A,874,1363,874,2275
shortflamingo.png,tallflamingo.png,watermelon.png,domino.png,tallflamingo.mp3,2,critical,A,880,1293,880,2051
crayon.png,talltree.png,tallstool.png,shortstool.png,tallstool.mp3,3,critical competitor,A,890,1408,890,1967
card.png,pretzel.png,shortlamp.png,talllamp.png,talllamp.mp3,4,critical,A,992,1547,992,2300
blanket.png,measuringcup.png,longpants.png,shortpants.png,blanket.mp3,1,contrast filler,A,,1073,1073,1785
creditcard.png,wagon.png,smalltooth.png,bigtooth.png,wagon.mp3,2,contrast filler,A,,1087,1087,1776
shortscrew.png,longscrew.png,sloth.png,kiwi.png,sloth.mp3,3,contrast filler,A,,901,901,1641
